wisteria01_0	1.	OS	OS
wisteria01_0	the	OS	OS
wisteria01_0	singular	OS	OS
wisteria01_0	experience	OS	OS
wisteria01_0	of	OS	OS
wisteria01_0	mr.	OS	OS
wisteria01_0	john	OS	OS
wisteria01_0	scott	OS	OS
wisteria01_0	eccles	OS	OS
wisteria01_1	i	OS	OS
wisteria01_1	find	OS	OS
wisteria01_1	it	OS	OS
wisteria01_1	recorded	OS	OS
wisteria01_1	in	OS	OS
wisteria01_1	my	OS	OS
wisteria01_1	notebook	OS	OS
wisteria01_1	that	OS	OS
wisteria01_1	it	OS	OS
wisteria01_1	was	OS	OS
wisteria01_1	a	OS	OS
wisteria01_1	bleak	OS	OS
wisteria01_1	and	OS	OS
wisteria01_1	windy	OS	OS
wisteria01_1	day	OS	OS
wisteria01_1	towards	OS	OS
wisteria01_1	the	OS	OS
wisteria01_1	end	OS	OS
wisteria01_1	of	OS	OS
wisteria01_1	march	OS	OS
wisteria01_1	in	OS	OS
wisteria01_1	the	OS	OS
wisteria01_1	year	OS	OS
wisteria01_1	1892	OS	OS
wisteria01_1	.	OS	OS
wisteria01_10	if	OS	OS
wisteria01_10	you	OS	OS
wisteria01_10	cast	OS	OS
wisteria01_10	your	OS	OS
wisteria01_10	mind	OS	OS
wisteria01_10	back	OS	OS
wisteria01_10	to	OS	OS
wisteria01_10	some	OS	OS
wisteria01_10	of	OS	OS
wisteria01_10	those	OS	OS
wisteria01_10	narratives	OS	OS
wisteria01_10	with	OS	OS
wisteria01_10	which	OS	OS
wisteria01_10	you	OS	OS
wisteria01_10	have	OS	OS
wisteria01_10	afflicted	OS	OS
wisteria01_10	a	OS	OS
wisteria01_10	long-suffering	OS	OS
wisteria01_10	public	OS	OS
wisteria01_10	,	OS	OS
wisteria01_10	you	OS	OS
wisteria01_10	will	OS	OS
wisteria01_10	recognize	OS	OS
wisteria01_10	how	OS	OS
wisteria01_10	often	OS	OS
wisteria01_10	the	OS	OS
wisteria01_10	grotesque	OS	OS
wisteria01_10	has	OS	OS
